line,change-15,change-30,group,area,notes,description,,,
701,,,Early Bird Express,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Any change to Early Bird Express service would solely be at BART's discretion as they fund 100% of EBX service. No District funds are used to operate the service. 
",,,
702,,,Early Bird Express,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Any change to Early Bird Express service would solely be at BART's discretion as they fund 100% of EBX service. No District funds are used to operate the service. 
",,,
703,,,Early Bird Express,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Any change to Early Bird Express service would solely be at BART's discretion as they fund 100% of EBX service. No District funds are used to operate the service. 
",,,
706,,,Early Bird Express,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Any change to Early Bird Express service would solely be at BART's discretion as they fund 100% of EBX service. No District funds are used to operate the service. 
",,,
707,,,Early Bird Express,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Any change to Early Bird Express service would solely be at BART's discretion as they fund 100% of EBX service. No District funds are used to operate the service. 
",,,
800,increased,increased,All-Nighter,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"Frequency increased to relieve overcrowding. All Nighter/Owl lifeline service with partial RM-2 funding. 
",,,
801,increased,increased,All-Nighter,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"Frequency increased to relieve overcrowding. All Nighter/Owl lifeline service with partial RM-2 funding. 
",,,
802,,,All-Nighter,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Line serves as part of the All Nighter/Owl lifeline service network. 
",,,
805,,,All-Nighter,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Line serves as part of the All Nighter/Owl lifeline service network. 
",,,
840,,,All-Nighter,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Line serves as part of the All Nighter/Owl lifeline service network. 
",,,
851,,,All-Nighter,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"No change recommended. Line serves as part of the All Nighter/Owl lifeline service network. 
",,,
M,reduced,eliminated,Southern Crossings ,"All-Nighter, Early Bird Express, and Southern Bridge Service",,"Reduce headways/number of trips for 15% scenario. Line eliminated in 30% scenario. 
",,,
